Group;Group Name;Question ID;Question;Score;Max Score;Scoring Guidance;Evidence
7;Vulnerability & patch management;7.1;ICS vulnerability scanning or passive monitoring is performed with change approval.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
7;Vulnerability & patch management;7.2;Patching is risk-based with documented exceptions and compensating controls.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
7;Vulnerability & patch management;7.3;Vendor advisories are tracked and assessed within defined SLAs.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
8;Monitoring & logging;8.1;ICS network traffic is monitored with IDS/monitoring appropriate for OT.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
8;Monitoring & logging;8.2;Security logs from ICS/DMZ are centralized and retained per policy.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
8;Monitoring & logging;8.3;Alerting and detection rules cover common ICS attack techniques.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
9;Backup & recovery;9.1;Backups of ICS configurations, logic, and critical servers are performed regularly.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
9;Backup & recovery;9.2;Backups are stored offline or in a segmented repository with access controls.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
9;Backup & recovery;9.3;Restore procedures are tested at least annually.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
10;Engineering workstations & tools;10.1;Engineering workstations are dedicated, hardened, and not used for general IT browsing.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
10;Engineering workstations & tools;10.2;Application allowlisting is applied to engineering workstations.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
10;Engineering workstations & tools;10.3;Portable media use is controlled and scanned before use in ICS.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
11;Safety system separation (SIS/BPCS);11.1;SIS and BPCS are segmented with minimal, controlled communications.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
11;Safety system separation (SIS/BPCS);11.2;SIS modifications require multi-person approval and logging.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
11;Safety system separation (SIS/BPCS);11.3;SIS engineering and operator stations are hardened and monitored.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
11;Safety system separation (SIS/BPCS);11.4;SIS controllers are hardened and monitored.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
12;Physical & environmental protection;12.3;Physical access to ICS cabinets, network equipment, and control rooms is restricted and logged.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
12;Physical & environmental protection;13.3;Environmental controls (power, HVAC, fire suppression) for ICS rooms are monitored.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
12;Physical & environmental protection;14.3;Visitor access to ICS areas is controlled and escorted.;3;3;"0=Not implemented;1=Partially implemented;2=Implemented but inconsistent;3=Implemented, documented, and monitored";Policies, configurations, logs, tickets, or audit evidence.
