Group;Group Name;Group Weight;Question ID;Question;Score;Max Score;Scoring Guidance;Evidence
6;Continuidad y recuperación;1;6.1;Se definen RTO y procedimientos de recuperación de ICS.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
6;Continuidad y recuperación;1;6.2;Los ejercicios BC/DR incluyen a OT y partes de producción.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
7;Gestión de cambios;1;7.1;Los cambios en redes, lógica y configuraciones ICS se aprueban formalmente.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
7;Gestión de cambios;1;7.2;Los cambios de emergencia se registran y se revisan después.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
8;Gestión de terceros y proveedores;1;8.1;El acceso de proveedores se controla, es temporal y se revisa.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
8;Gestión de terceros y proveedores;1;8.2;Los contratos requieren requisitos de seguridad y notificación de incidentes.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
9;Gestión del ciclo de vida de activos;1;9.1;Se definen requisitos de seguridad para la adquisición de activos ICS.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
9;Gestión del ciclo de vida de activos;1;9.2;Los activos EOL están identificados con planes de mitigación o reemplazo.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
10;Auditoría y cumplimiento;1;10.1;Los controles de seguridad de ICS se auditan o evalúan periódicamente.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
10;Auditoría y cumplimiento;1;10.2;Los hallazgos se siguen hasta el cierre con reporte a la dirección.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
11;Métricas y mejora continua;1;11.1;Se definen métricas clave de seguridad ICS y se reportan a la dirección.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
11;Métricas y mejora continua;1;11.2;Las lecciones aprendidas se incorporan en políticas y procedimientos.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
12;Gobernanza y clasificación de datos;1;12.1;Los datos ICS se clasifican y se manejan según las reglas de gobernanza de datos.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
12;Gobernanza y clasificación de datos;1;12.2;El intercambio de datos con terceros se aprueba y se monitorea.;;3;"0=No implementado;1=Parcial;2=Implementado pero inconsistente;3=Implementado, documentado y monitoreado";Políticas, configuraciones, registros, tickets o evidencia de auditoría.
