Group;Group Name;Group Weight;Question ID;Question;Score;Max Score;Scoring Guidance;Evidence
9;Резервное копирование и восстановление;1;9.2;Бэкапы хранятся офлайн или в сегментированном хранилище с контролем доступа.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
9;Резервное копирование и восстановление;1;9.3;Процедуры восстановления тестируются не реже раза в год.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
10;Инженерные рабочие места и инструменты;1;10.1;Инженерные рабочие места выделены, укреплены и не используются для общего доступа в Интернет.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
10;Инженерные рабочие места и инструменты;1;10.2;На инженерных рабочих местах используется allowlisting приложений.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
10;Инженерные рабочие места и инструменты;1;10.3;Использование съемных носителей контролируется и проверяется перед использованием в АСУТП.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
11;Разделение систем безопасности (SIS/BPCS);1;11.1;SIS и BPCS сегментированы, коммуникации минимальны и контролируемы.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
11;Разделение систем безопасности (SIS/BPCS);1;11.2;Изменения в SIS требуют согласования несколькими лицами и журналируются.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
11;Разделение систем безопасности (SIS/BPCS);1;11.3;Инженерные и операторские станции SIS укреплены и мониторятся.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
12;Физическая и средовая защита;1;12.1;Физический доступ к шкафам АСУТП, сетевому оборудованию и диспетчерским ограничен и журналируется.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
12;Физическая и средовая защита;1;12.2;Инженерная инфраструктура (питание, HVAC, пожаротушение) для помещений АСУТП мониторится.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
12;Физическая и средовая защита;1;12.3;Доступ посетителей в зоны АСУТП контролируется и сопровождается.;;3;"0=Не внедрено;1=Частично;2=Внедрено, но нестабильно;3=Внедрено, документировано и контролируется";Политики, конфигурации, журналы, заявки, отчеты аудита.
